timestamp_utc,bid,ask,spread_usd_oz,spread_pips,market_open
2026-07-16 00:00:01,4057.71,4057.83,0.120,12.0,1
2026-07-16 00:00:06,4058.28,4058.40,0.120,12.0,1
2026-07-16 00:00:11,4057.11,4057.23,0.120,12.0,1
2026-07-16 00:00:16,4056.81,4056.93,0.120,12.0,1
2026-07-16 00:00:21,4056.54,4056.66,0.120,12.0,1
2026-07-16 00:00:26,4056.92,4057.04,0.120,12.0,1
2026-07-16 00:00:31,4056.85,4056.97,0.120,12.0,1
2026-07-16 00:00:36,4056.64,4056.76,0.120,12.0,1
2026-07-16 00:00:41,4057.09,4057.21,0.120,12.0,1
2026-07-16 00:00:46,4057.06,4057.17,0.110,11.0,1
2026-07-16 00:00:51,4057.59,4057.71,0.120,12.0,1
2026-07-16 00:00:56,4057.71,4057.81,0.100,10.0,1
2026-07-16 00:01:01,4057.97,4058.06,0.090,9.0,1
2026-07-16 00:01:06,4057.59,4057.70,0.110,11.0,1
2026-07-16 00:01:11,4057.62,4057.71,0.090,9.0,1
2026-07-16 00:01:16,4056.96,4057.08,0.120,12.0,1
2026-07-16 00:01:21,4057.23,4057.35,0.120,12.0,1
2026-07-16 00:01:26,4057.52,4057.62,0.100,10.0,1
2026-07-16 00:01:31,4057.70,4057.82,0.120,12.0,1
2026-07-16 00:01:36,4058.10,4058.21,0.110,11.0,1
2026-07-16 00:01:41,4058.07,4058.16,0.090,9.0,1
2026-07-16 00:01:46,4058.49,4058.60,0.110,11.0,1
2026-07-16 00:01:51,4058.32,4058.42,0.100,10.0,1
2026-07-16 00:01:56,4058.91,4059.03,0.120,12.0,1
2026-07-16 00:02:01,4058.89,4058.99,0.100,10.0,1
2026-07-16 00:02:06,4058.60,4058.68,0.080,8.0,1
2026-07-16 00:02:11,4058.55,4058.62,0.070,7.0,1
2026-07-16 00:02:16,4059.07,4059.19,0.120,12.0,1
2026-07-16 00:02:21,4058.79,4058.91,0.120,12.0,1
2026-07-16 00:02:26,4058.70,4058.82,0.120,12.0,1
2026-07-16 00:02:31,4058.93,4059.05,0.120,12.0,1
2026-07-16 00:02:36,4058.50,4058.62,0.120,12.0,1
2026-07-16 00:02:41,4058.64,4058.73,0.090,9.0,1
2026-07-16 00:02:46,4059.11,4059.18,0.070,7.0,1
2026-07-16 00:02:51,4058.71,4058.77,0.060,6.0,1
2026-07-16 00:02:56,4058.84,4058.89,0.050,5.0,1
2026-07-16 00:03:01,4059.42,4059.52,0.100,10.0,1
2026-07-16 00:03:06,4059.00,4059.12,0.120,12.0,1
2026-07-16 00:03:11,4058.83,4058.93,0.100,10.0,1
2026-07-16 00:03:16,4058.89,4058.94,0.050,5.0,1
2026-07-16 00:03:21,4059.05,4059.10,0.050,5.0,1
2026-07-16 00:03:26,4058.84,4058.89,0.050,5.0,1
2026-07-16 00:03:31,4058.66,4058.71,0.050,5.0,1
2026-07-16 00:03:36,4058.46,4058.54,0.080,8.0,1
2026-07-16 00:03:41,4058.52,4058.57,0.050,5.0,1
2026-07-16 00:03:46,4057.90,4058.02,0.120,12.0,1
2026-07-16 00:03:51,4057.13,4057.25,0.120,12.0,1
2026-07-16 00:03:56,4057.32,4057.44,0.120,12.0,1
2026-07-16 00:04:01,4057.10,4057.20,0.100,10.0,1
2026-07-16 00:04:06,4057.56,4057.64,0.080,8.0,1
2026-07-16 00:04:11,4057.41,4057.46,0.050,5.0,1
