timestamp_utc,bid,ask,spread_usd_oz,spread_pips,market_open
2026-07-13 00:00:01,4085.84,4085.96,0.120,12.0,1
2026-07-13 00:00:06,4084.95,4085.07,0.120,12.0,1
2026-07-13 00:00:11,4083.58,4083.70,0.120,12.0,1
2026-07-13 00:00:16,4082.23,4082.35,0.120,12.0,1
2026-07-13 00:00:21,4082.24,4082.36,0.120,12.0,1
2026-07-13 00:00:26,4081.97,4082.06,0.090,9.0,1
2026-07-13 00:00:31,4081.00,4081.07,0.070,7.0,1
2026-07-13 00:00:36,4081.41,4081.53,0.120,12.0,1
2026-07-13 00:00:41,4081.58,4081.67,0.090,9.0,1
2026-07-13 00:00:46,4081.49,4081.58,0.090,9.0,1
2026-07-13 00:00:51,4081.85,4081.93,0.080,8.0,1
2026-07-13 00:00:56,4082.51,4082.58,0.070,7.0,1
2026-07-13 00:01:01,4083.16,4083.24,0.080,8.0,1
2026-07-13 00:01:06,4083.64,4083.71,0.070,7.0,1
2026-07-13 00:01:11,4084.30,4084.42,0.120,12.0,1
2026-07-13 00:01:16,4083.59,4083.71,0.120,12.0,1
2026-07-13 00:01:21,4084.34,4084.46,0.120,12.0,1
2026-07-13 00:01:26,4083.79,4083.91,0.120,12.0,1
2026-07-13 00:01:31,4083.94,4084.03,0.090,9.0,1
2026-07-13 00:01:36,4083.79,4083.91,0.120,12.0,1
2026-07-13 00:01:41,4083.60,4083.70,0.100,10.0,1
2026-07-13 00:01:46,4083.77,4083.86,0.090,9.0,1
2026-07-13 00:01:51,4082.71,4082.77,0.060,6.0,1
2026-07-13 00:01:56,4082.73,4082.80,0.070,7.0,1
2026-07-13 00:02:01,4082.83,4082.88,0.050,5.0,1
2026-07-13 00:02:06,4083.46,4083.57,0.110,11.0,1
2026-07-13 00:02:11,4083.68,4083.76,0.080,8.0,1
2026-07-13 00:02:16,4083.91,4084.03,0.120,12.0,1
2026-07-13 00:02:21,4083.32,4083.44,0.120,12.0,1
2026-07-13 00:02:26,4083.54,4083.64,0.100,10.0,1
2026-07-13 00:02:31,4084.04,4084.16,0.120,12.0,1
2026-07-13 00:02:36,4083.98,4084.09,0.110,11.0,1
2026-07-13 00:02:41,4084.08,4084.20,0.120,12.0,1
2026-07-13 00:02:46,4085.22,4085.34,0.120,12.0,1
2026-07-13 00:02:51,4085.15,4085.27,0.120,12.0,1
2026-07-13 00:02:56,4084.86,4084.95,0.090,9.0,1
2026-07-13 00:03:01,4085.76,4085.83,0.070,7.0,1
2026-07-13 00:03:06,4085.25,4085.37,0.120,12.0,1
2026-07-13 00:03:11,4084.91,4085.03,0.120,12.0,1
2026-07-13 00:03:16,4085.08,4085.16,0.080,8.0,1
2026-07-13 00:03:21,4085.30,4085.39,0.090,9.0,1
2026-07-13 00:03:26,4085.23,4085.30,0.070,7.0,1
2026-07-13 00:03:31,4085.74,4085.79,0.050,5.0,1
2026-07-13 00:03:36,4085.31,4085.37,0.060,6.0,1
2026-07-13 00:03:41,4085.48,4085.53,0.050,5.0,1
2026-07-13 00:03:46,4085.52,4085.58,0.060,6.0,1
2026-07-13 00:03:51,4085.68,4085.73,0.050,5.0,1
2026-07-13 00:03:56,4084.57,4084.67,0.100,10.0,1
2026-07-13 00:04:01,4084.50,4084.59,0.090,9.0,1
2026-07-13 00:04:06,4084.27,4084.32,0.050,5.0,1
2026-07-13 00:04:11,4084.60,4084.67,0.070,7.0,1
2026-07-13 00:04:16,4084.76,4084.81,0.050,5.0,1
2026-07-13 00:04:21,4084.64,4084.69,0.050,5.0,1
2026-07-13 00:04:26,4084.89,4084.94,0.050,5.0,1
2026-07-13 00:04:31,4084.96,4085.05,0.090,9.0,1
2026-07-13 00:04:36,4085.49,4085.59,0.100,10.0,1
2026-07-13 00:04:41,4085.34,4085.46,0.120,12.0,1
2026-07-13 00:04:46,4085.12,4085.24,0.120,12.0,1
2026-07-13 00:04:51,4083.92,4084.04,0.120,12.0,1
2026-07-13 00:04:56,4084.15,4084.27,0.120,12.0,1
2026-07-13 00:05:01,4083.97,4084.05,0.080,8.0,1
2026-07-13 00:05:06,4084.16,4084.27,0.110,11.0,1
2026-07-13 00:05:11,4084.98,4085.10,0.120,12.0,1
2026-07-13 00:05:16,4085.68,4085.80,0.120,12.0,1
2026-07-13 00:05:21,4085.92,4086.04,0.120,12.0,1
