timestamp_utc,datetime_utc,open,high,low,close
1451862000,2016-01-03 23:00:00,1062.42,1066.40,1061.83,1063.15
1451865600,2016-01-04 00:00:00,1063.14,1064.89,1062.75,1064.63
1451869200,2016-01-04 01:00:00,1064.69,1065.47,1062.37,1063.52
1451872800,2016-01-04 02:00:00,1063.49,1064.67,1063.35,1064.34
1451876400,2016-01-04 03:00:00,1064.35,1064.73,1063.79,1063.81
1451880000,2016-01-04 04:00:00,1063.85,1065.44,1063.53,1065.37
1451883600,2016-01-04 05:00:00,1065.42,1069.00,1065.11,1068.73
1451887200,2016-01-04 06:00:00,1068.75,1070.17,1068.02,1069.93
1451890800,2016-01-04 07:00:00,1069.92,1073.16,1068.61,1071.44
1451894400,2016-01-04 08:00:00,1071.50,1074.20,1070.53,1072.72
1451898000,2016-01-04 09:00:00,1072.77,1073.81,1071.40,1073.72
1451901600,2016-01-04 10:00:00,1073.71,1073.99,1072.53,1072.78
1451905200,2016-01-04 11:00:00,1072.77,1074.80,1070.42,1072.63
1451908800,2016-01-04 12:00:00,1072.74,1073.06,1071.29,1072.44
1451912400,2016-01-04 13:00:00,1072.47,1079.56,1070.49,1078.58
1451916000,2016-01-04 14:00:00,1078.66,1081.71,1077.44,1080.44
1451919600,2016-01-04 15:00:00,1080.48,1083.54,1076.78,1078.05
1451923200,2016-01-04 16:00:00,1077.96,1078.85,1071.36,1073.47
1451926800,2016-01-04 17:00:00,1073.38,1077.26,1073.27,1076.22
1451930400,2016-01-04 18:00:00,1076.13,1076.60,1075.10,1075.11
1451934000,2016-01-04 19:00:00,1075.10,1075.74,1074.96,1075.18
1451937600,2016-01-04 20:00:00,1075.17,1075.46,1074.06,1075.17
1451941200,2016-01-04 21:00:00,1075.22,1075.22,1073.48,1074.46
1451948400,2016-01-04 23:00:00,1073.53,1073.92,1073.05,1073.12
1451952000,2016-01-05 00:00:00,1073.13,1076.73,1072.71,1075.87
1451955600,2016-01-05 01:00:00,1075.89,1077.11,1074.57,1076.27
1451959200,2016-01-05 02:00:00,1076.25,1076.53,1075.69,1076.14
1451962800,2016-01-05 03:00:00,1076.16,1077.01,1075.93,1076.97
1451966400,2016-01-05 04:00:00,1076.93,1077.88,1076.42,1077.43
1451970000,2016-01-05 05:00:00,1077.36,1078.96,1076.97,1078.42
1451973600,2016-01-05 06:00:00,1078.41,1079.25,1077.56,1079.10
1451977200,2016-01-05 07:00:00,1079.09,1079.76,1076.45,1076.85
1451980800,2016-01-05 08:00:00,1076.86,1077.50,1076.43,1076.98
1451984400,2016-01-05 09:00:00,1076.96,1079.79,1076.87,1078.05
1451988000,2016-01-05 10:00:00,1078.04,1080.21,1077.13,1077.48
1451991600,2016-01-05 11:00:00,1077.51,1080.91,1077.11,1079.87
1451995200,2016-01-05 12:00:00,1079.89,1082.11,1079.12,1079.37
1451998800,2016-01-05 13:00:00,1079.46,1082.01,1075.30,1075.30
1452002400,2016-01-05 14:00:00,1075.38,1078.23,1075.27,1076.96
1452006000,2016-01-05 15:00:00,1076.86,1079.48,1075.82,1077.06
1452009600,2016-01-05 16:00:00,1077.08,1080.41,1077.04,1079.77
1452013200,2016-01-05 17:00:00,1079.76,1081.27,1078.55,1079.81
1452016800,2016-01-05 18:00:00,1079.85,1079.85,1076.95,1078.56
1452020400,2016-01-05 19:00:00,1078.59,1078.79,1077.74,1078.79
1452024000,2016-01-05 20:00:00,1078.75,1079.06,1078.24,1078.63
1452027600,2016-01-05 21:00:00,1078.58,1078.73,1077.28,1077.45
1452034800,2016-01-05 23:00:00,1077.13,1078.18,1077.08,1077.75
1452038400,2016-01-06 00:00:00,1077.68,1078.45,1077.29,1077.55
1452042000,2016-01-06 01:00:00,1077.48,1077.68,1075.05,1075.86
1452045600,2016-01-06 02:00:00,1075.99,1077.09,1075.48,1076.86
1452049200,2016-01-06 03:00:00,1076.87,1079.31,1076.83,1078.21
