file,quarantined,rows,first_bar_utc,last_bar_utc
xauusd_hour.csv,0,62986,2016-01-03 23:00:00,2026-08-31 09:00:00
quarantine_pre2016/xauusd_hour.csv,1,30615,2010-10-01 00:00:00,2015-12-31 21:00:00
