timestamp_utc,datetime_utc,open,high,low,close,ema8,ema21
1783605720,2026-07-09 14:02:00,4128.98,4130.77,4128.82,4130.44,4125.4346,4123.9125
1783605780,2026-07-09 14:03:00,4130.58,4132.79,4129.25,4132.76,4127.0624,4124.7168
1783605840,2026-07-09 14:04:00,4132.84,4134.72,4130.84,4131.34,4128.0130,4125.3189
1783605900,2026-07-09 14:05:00,4131.38,4136.01,4131.09,4134.02,4129.3479,4126.1099
1783605960,2026-07-09 14:06:00,4134.03,4134.6,4130.38,4130.63,4129.6328,4126.5209
1783606020,2026-07-09 14:07:00,4130.67,4130.67,4126.98,4128.79,4129.4455,4126.7271
1783606080,2026-07-09 14:08:00,4128.83,4128.98,4127.09,4127.87,4129.0954,4126.8310
1783606140,2026-07-09 14:09:00,4127.92,4128.38,4126.11,4126.38,4128.4920,4126.7900
1783606200,2026-07-09 14:10:00,4126.44,4126.86,4121.25,4121.7,4126.9827,4126.3273
1783606260,2026-07-09 14:11:00,4121.75,4124.1,4121.56,4123.76,4126.2665,4126.0939
1783606320,2026-07-09 14:12:00,4123.74,4123.75,4120.44,4121.42,4125.1895,4125.6690
1783606380,2026-07-09 14:13:00,4121.49,4123.7,4121.18,4122.28,4124.5429,4125.3609
1783606440,2026-07-09 14:14:00,4122.18,4124.26,4122.12,4122.39,4124.0645,4125.0908
1783606500,2026-07-09 14:15:00,4122.41,4122.41,4116.94,4117.05,4122.5057,4124.3599
1783606560,2026-07-09 14:16:00,4117.07,4120.63,4116.25,4120.15,4121.9822,4123.9771
1783606620,2026-07-09 14:17:00,4120.11,4121.58,4118.7,4119.05,4121.3306,4123.5292
1783606680,2026-07-09 14:18:00,4119.13,4119.7,4118.09,4118.91,4120.7927,4123.1093
1783606740,2026-07-09 14:19:00,4118.85,4119.31,4116.88,4117.34,4120.0254,4122.5848
1783606800,2026-07-09 14:20:00,4117.5,4117.88,4114.34,4115.37,4118.9909,4121.9289
1783606860,2026-07-09 14:21:00,4115.81,4117.23,4115,4117.14,4118.5796,4121.4936
