timestamp_utc,datetime_utc,open,high,low,close,ema8,ema21
1784786520,2026-07-23 06:02:00,4126.36,4126.66,4123.43,4124.83,4124.8687,4125.1579
1784786580,2026-07-23 06:03:00,4124.89,4126.3,4124.67,4125.76,4125.0668,4125.2126
1784786640,2026-07-23 06:04:00,4125.8,4126.01,4124.06,4124.1,4124.8520,4125.1115
1784786700,2026-07-23 06:05:00,4124.13,4124.96,4122.46,4123.35,4124.5182,4124.9513
1784786760,2026-07-23 06:06:00,4123.3,4123.55,4122.29,4122.76,4124.1275,4124.7521
1784786820,2026-07-23 06:07:00,4122.79,4122.79,4121.3,4122.46,4123.7569,4124.5437
1784786880,2026-07-23 06:08:00,4122.45,4122.88,4121.97,4122.76,4123.5354,4124.3816
1784786940,2026-07-23 06:09:00,4122.75,4124.18,4122.5,4122.58,4123.3231,4124.2178
1784787000,2026-07-23 06:10:00,4122.62,4123.98,4122.5,4123.88,4123.4468,4124.1871
1784787060,2026-07-23 06:11:00,4123.9,4124.31,4123.43,4123.91,4123.5498,4124.1619
1784787120,2026-07-23 06:12:00,4123.99,4124.47,4121.91,4123.33,4123.5009,4124.0863
1784787180,2026-07-23 06:13:00,4123.34,4123.82,4123.07,4123.69,4123.5429,4124.0503
1784787240,2026-07-23 06:14:00,4123.68,4123.96,4123.02,4123.24,4123.4756,4123.9766
1784787300,2026-07-23 06:15:00,4123.19,4123.7,4122.52,4123.33,4123.4433,4123.9178
1784787360,2026-07-23 06:16:00,4123.29,4124.23,4122.97,4124,4123.5670,4123.9253
1784787420,2026-07-23 06:17:00,4123.98,4125.67,4123.67,4125.38,4123.9699,4124.0575
1784787480,2026-07-23 06:18:00,4125.44,4126.59,4125.44,4126.19,4124.4632,4124.2514
1784787540,2026-07-23 06:19:00,4126.16,4127.71,4126.09,4126.88,4125.0003,4124.4904
1784787600,2026-07-23 06:20:00,4126.87,4127.25,4125.26,4125.28,4125.0625,4124.5621
1784787660,2026-07-23 06:21:00,4125.29,4126.16,4125.02,4125.42,4125.1419,4124.6401
1784787720,2026-07-23 06:22:00,4125.18,4125.18,4123.39,4124.29,4124.9526,4124.6083
1784787780,2026-07-23 06:23:00,4124.27,4124.99,4124.05,4124.51,4124.8542,4124.5994
1784787840,2026-07-23 06:24:00,4124.54,4125.15,4124.54,4124.89,4124.8622,4124.6258
1784787900,2026-07-23 06:25:00,4124.93,4124.93,4123.25,4123.26,4124.5061,4124.5016
1784787960,2026-07-23 06:26:00,4123.21,4123.21,4122.42,4122.94,4124.1581,4124.3597
1784788020,2026-07-23 06:27:00,4122.79,4123.72,4121.46,4123.59,4124.0319,4124.2897
1784788080,2026-07-23 06:28:00,4123.58,4123.66,4122.07,4122.07,4123.5959,4124.0879
1784788140,2026-07-23 06:29:00,4122.04,4122.42,4121.41,4122.12,4123.2679,4123.9090
1784788200,2026-07-23 06:30:00,4122.18,4123.04,4121.5,4122.58,4123.1150,4123.7882
1784788260,2026-07-23 06:31:00,4122.62,4122.92,4121.07,4121.1,4122.6673,4123.5438
1784788320,2026-07-23 06:32:00,4121.09,4122.01,4120.54,4121.23,4122.3479,4123.3335
1784788380,2026-07-23 06:33:00,4121.17,4121.89,4120.88,4121.71,4122.2061,4123.1859
1784788440,2026-07-23 06:34:00,4121.71,4122.65,4120.64,4122.34,4122.2359,4123.1090
1784788500,2026-07-23 06:35:00,4122.23,4123.08,4122.11,4122.25,4122.2390,4123.0309
1784788560,2026-07-23 06:36:00,4122.32,4123.17,4122.32,4122.7,4122.3415,4123.0008
1784788620,2026-07-23 06:37:00,4122.68,4123.79,4122.59,4123.14,4122.5189,4123.0135
1784788680,2026-07-23 06:38:00,4123.19,4123.24,4121.46,4122.74,4122.5680,4122.9886
1784788740,2026-07-23 06:39:00,4122.75,4122.91,4120.8,4120.85,4122.1863,4122.7942
1784788800,2026-07-23 06:40:00,4120.84,4120.85,4118.01,4118.02,4121.2604,4122.3602
1784788860,2026-07-23 06:41:00,4118.03,4118.54,4116.91,4118.51,4120.6492,4122.0101
1784788920,2026-07-23 06:42:00,4118.84,4119.47,4118.45,4118.75,4120.2272,4121.7138
1784788980,2026-07-23 06:43:00,4118.7,4120.61,4118.56,4120.61,4120.3122,4121.6134
1784789040,2026-07-23 06:44:00,4120.55,4121.41,4119.8,4120.03,4120.2495,4121.4695
1784789100,2026-07-23 06:45:00,4119.99,4121.8,4119.26,4121.49,4120.5252,4121.4713
1784789160,2026-07-23 06:46:00,4121.47,4121.82,4121.04,4121.58,4120.7596,4121.4812
1784789220,2026-07-23 06:47:00,4121.39,4121.77,4120.62,4120.79,4120.7663,4121.4184
1784789280,2026-07-23 06:48:00,4120.8,4121.77,4120.43,4121.75,4120.9849,4121.4485
1784789340,2026-07-23 06:49:00,4121.69,4122.35,4121.61,4121.71,4121.1461,4121.4723
1784789400,2026-07-23 06:50:00,4121.7,4122.05,4121.32,4121.97,4121.3292,4121.5175
1784789460,2026-07-23 06:51:00,4121.81,4122.04,4121.03,4121.03,4121.2627,4121.4732
1784789520,2026-07-23 06:52:00,4121.02,4121.23,4119.77,4120.73,4121.1443,4121.4057
1784789580,2026-07-23 06:53:00,4120.75,4121.25,4120.31,4121.09,4121.1322,4121.3770
1784789640,2026-07-23 06:54:00,4121.05,4121.19,4119.74,4120.24,4120.9340,4121.2736
1784789700,2026-07-23 06:55:00,4119.89,4120.43,4119.37,4119.72,4120.6642,4121.1324
1784789760,2026-07-23 06:56:00,4119.7,4120.31,4119.42,4119.62,4120.4322,4120.9949
1784789820,2026-07-23 06:57:00,4119.64,4120.08,4119.39,4119.63,4120.2539,4120.8708
1784789880,2026-07-23 06:58:00,4119.6,4119.7,4117.89,4118.13,4119.7819,4120.6216
1784789940,2026-07-23 06:59:00,4118.02,4118.97,4118,4118.64,4119.5282,4120.4415
1784790000,2026-07-23 07:00:00,4118.62,4119.4,4116.22,4117.32,4119.0375,4120.1577
1784790060,2026-07-23 07:01:00,4117.53,4117.94,4113.97,4114.38,4118.0025,4119.6325
1784790120,2026-07-23 07:02:00,4114.4,4115.89,4114.13,4115.65,4117.4797,4119.2704
1784790180,2026-07-23 07:03:00,4115.77,4116.24,4115.18,4115.81,4117.1087,4118.9558
1784790240,2026-07-23 07:04:00,4115.9,4116.55,4114.08,4115.21,4116.6867,4118.6153
1784790300,2026-07-23 07:05:00,4115.28,4116.29,4114.83,4115.68,4116.4630,4118.3485
1784790360,2026-07-23 07:06:00,4115.67,4115.75,4113.24,4113.35,4115.7712,4117.8941
1784790420,2026-07-23 07:07:00,4113.42,4113.79,4111.65,4112.26,4114.9910,4117.3819
1784790480,2026-07-23 07:08:00,4112.27,4113.05,4111.53,4112.07,4114.3419,4116.8990
1784790540,2026-07-23 07:09:00,4112.11,4112.24,4109.84,4110.47,4113.4814,4116.3145
1784790600,2026-07-23 07:10:00,4110.51,4110.54,4106.83,4106.91,4112.0211,4115.4596
1784790660,2026-07-23 07:11:00,4106.94,4107.09,4105.28,4105.34,4110.5364,4114.5396
1784790720,2026-07-23 07:12:00,4105.35,4105.4,4102.07,4103.02,4108.8661,4113.4924
1784790780,2026-07-23 07:13:00,4103.01,4104.26,4102.26,4103.7,4107.7181,4112.6022
1784790840,2026-07-23 07:14:00,4103.35,4107.51,4102.83,4106.7,4107.4918,4112.0656
1784790900,2026-07-23 07:15:00,4106.69,4108.42,4106.65,4107.99,4107.6025,4111.6951
1784790960,2026-07-23 07:16:00,4107.98,4111.72,4106.94,4111.67,4108.5064,4111.6928
1784791020,2026-07-23 07:17:00,4111.71,4112.02,4109.39,4110.46,4108.9406,4111.5807
1784791080,2026-07-23 07:18:00,4110.56,4111.27,4108.42,4109.83,4109.1382,4111.4216
1784791140,2026-07-23 07:19:00,4109.84,4111.13,4108.98,4109.58,4109.2364,4111.2542
1784791200,2026-07-23 07:20:00,4109.59,4109.76,4107.82,4108.96,4109.1750,4111.0456
1784791260,2026-07-23 07:21:00,4108.82,4109.64,4108.07,4108.85,4109.1028,4110.8460
1784791320,2026-07-23 07:22:00,4108.89,4109.67,4108.08,4108.63,4108.9977,4110.6445
1784791380,2026-07-23 07:23:00,4108.62,4109.29,4107.83,4108.45,4108.8760,4110.4450
1784791440,2026-07-23 07:24:00,4108.43,4108.47,4105.51,4105.71,4108.1724,4110.0146
1784791500,2026-07-23 07:25:00,4105.66,4109.41,4105.66,4109.24,4108.4097,4109.9442
1784791560,2026-07-23 07:26:00,4109.23,4110.15,4108.5,4110.13,4108.7920,4109.9611
1784791620,2026-07-23 07:27:00,4110.39,4110.59,4109.62,4109.62,4108.9760,4109.9301
1784791680,2026-07-23 07:28:00,4109.24,4109.52,4107.77,4107.86,4108.7280,4109.7419
1784791740,2026-07-23 07:29:00,4107.88,4108.96,4107.88,4108.46,4108.6684,4109.6253
1784791800,2026-07-23 07:30:00,4108.45,4108.78,4103.76,4103.76,4107.5777,4109.0921
1784791860,2026-07-23 07:31:00,4103.55,4104.64,4102.94,4103.32,4106.6315,4108.5674
1784791920,2026-07-23 07:32:00,4103.28,4103.8,4102.16,4103.67,4105.9734,4108.1222
1784791980,2026-07-23 07:33:00,4103.66,4106.58,4103.43,4106.58,4106.1082,4107.9820
1784792040,2026-07-23 07:34:00,4106.68,4106.68,4105.14,4105.3,4105.9286,4107.7382
1784792100,2026-07-23 07:35:00,4105.32,4105.68,4102.18,4103.52,4105.3934,4107.3547
1784792160,2026-07-23 07:36:00,4103.47,4104.93,4103.22,4104.7,4105.2393,4107.1134
1784792220,2026-07-23 07:37:00,4104.69,4104.78,4102.94,4103.31,4104.8105,4106.7676
1784792280,2026-07-23 07:38:00,4103.35,4104,4100.65,4101.74,4104.1282,4106.3105
1784792340,2026-07-23 07:39:00,4101.77,4102.08,4099.52,4100.74,4103.3753,4105.8041
1784792400,2026-07-23 07:40:00,4100.72,4101.98,4100.42,4101.14,4102.8785,4105.3801
1784792460,2026-07-23 07:41:00,4101.17,4101.89,4099.68,4099.71,4102.1744,4104.8646
1784792520,2026-07-23 07:42:00,4099.64,4100.14,4094.08,4094.31,4100.4268,4103.9051
1784792580,2026-07-23 07:43:00,4094.49,4096.32,4091.45,4096.26,4099.5008,4103.2101
1784792640,2026-07-23 07:44:00,4096.25,4096.61,4094.71,4095.6,4098.6340,4102.5183
1784792700,2026-07-23 07:45:00,4095.72,4096.82,4094.59,4095.13,4097.8553,4101.8466
1784792760,2026-07-23 07:46:00,4095.17,4095.17,4092.46,4094.86,4097.1897,4101.2115
1784792820,2026-07-23 07:47:00,4094.88,4094.88,4091.37,4092.31,4096.1053,4100.4023
1784792880,2026-07-23 07:48:00,4092.39,4095.35,4091.86,4095.3,4095.9264,4099.9384
1784792940,2026-07-23 07:49:00,4095.33,4095.4,4091.86,4093.16,4095.3116,4099.3222
1784793000,2026-07-23 07:50:00,4093.03,4094.84,4091.57,4094.83,4095.2046,4098.9138
1784793060,2026-07-23 07:51:00,4094.84,4095.15,4093.55,4093.55,4094.8369,4098.4262
1784793120,2026-07-23 07:52:00,4093.36,4094.25,4092.39,4092.84,4094.3931,4097.9184
1784793180,2026-07-23 07:53:00,4092.81,4092.91,4090.22,4091.44,4093.7369,4097.3294
1784793240,2026-07-23 07:54:00,4091.28,4094.06,4091.15,4093.79,4093.7487,4097.0077
1784793300,2026-07-23 07:55:00,4093.54,4096.65,4092.47,4095.77,4094.1979,4096.8951
