timestamp_utc,datetime_utc,open,high,low,close,ema8,ema21
1783648920,2026-07-10 02:02:00,4117.18,4117.83,4116.92,4117.66,4117.1920,4116.5756
1783648980,2026-07-10 02:03:00,4117.66,4118.3,4117.26,4117.78,4117.3226,4116.6851
1783649040,2026-07-10 02:04:00,4117.79,4119.13,4117.65,4118.21,4117.5198,4116.8237
1783649100,2026-07-10 02:05:00,4118.22,4119.06,4117.72,4118.88,4117.8221,4117.0107
1783649160,2026-07-10 02:06:00,4118.94,4119.62,4118.82,4119.55,4118.2061,4117.2415
1783649220,2026-07-10 02:07:00,4119.55,4120.93,4119.35,4120.23,4118.6558,4117.5132
1783649280,2026-07-10 02:08:00,4120.26,4126.29,4120.03,4124.58,4119.9723,4118.1556
1783649340,2026-07-10 02:09:00,4124.81,4125.63,4124,4124.98,4121.0851,4118.7760
1783649400,2026-07-10 02:10:00,4124.99,4126.36,4124.52,4126.35,4122.2551,4119.4646
1783649460,2026-07-10 02:11:00,4126.44,4128.87,4126.17,4128.24,4123.5851,4120.2623
1783649520,2026-07-10 02:12:00,4128.24,4128.63,4125.63,4126.21,4124.1684,4120.8030
1783649580,2026-07-10 02:13:00,4126.19,4126.89,4124.84,4124.95,4124.3421,4121.1800
1783649640,2026-07-10 02:14:00,4124.98,4125.28,4123.95,4124.82,4124.4483,4121.5109
1783649700,2026-07-10 02:15:00,4124.82,4125.21,4124.08,4125.21,4124.6176,4121.8472
1783649760,2026-07-10 02:16:00,4125.21,4126.63,4125.02,4126.61,4125.0603,4122.2802
1783649820,2026-07-10 02:17:00,4126.64,4127.56,4126.17,4126.73,4125.4314,4122.6847
1783649880,2026-07-10 02:18:00,4126.63,4128.05,4126.63,4127.46,4125.8822,4123.1188
1783649940,2026-07-10 02:19:00,4127.58,4127.86,4127.17,4127.47,4126.2350,4123.5144
1783650000,2026-07-10 02:20:00,4127.49,4127.68,4126.32,4126.89,4126.3806,4123.8213
1783650060,2026-07-10 02:21:00,4126.88,4126.93,4126.04,4126.67,4126.4449,4124.0802
1783650120,2026-07-10 02:22:00,4126.66,4126.66,4123.84,4124.23,4125.9527,4124.0939
1783650180,2026-07-10 02:23:00,4124.24,4124.24,4122.01,4122.33,4125.1476,4123.9335
1783650240,2026-07-10 02:24:00,4122.26,4124.08,4121.91,4124.08,4124.9104,4123.9468
1783650300,2026-07-10 02:25:00,4124.09,4124.88,4123.93,4124.61,4124.8436,4124.0071
1783650360,2026-07-10 02:26:00,4124.72,4125.17,4124.2,4124.98,4124.8739,4124.0956
1783650420,2026-07-10 02:27:00,4124.99,4125.31,4124.45,4125.3,4124.9686,4124.2051
1783650480,2026-07-10 02:28:00,4125.28,4126.05,4125.16,4125.43,4125.0712,4124.3164
1783650540,2026-07-10 02:29:00,4125.42,4126.26,4125.21,4125.83,4125.2398,4124.4540
1783650600,2026-07-10 02:30:00,4125.91,4127.7,4125.31,4127.58,4125.7598,4124.7382
1783650660,2026-07-10 02:31:00,4127.6,4128.68,4127.02,4127.29,4126.0999,4124.9702
1783650720,2026-07-10 02:32:00,4127.3,4127.33,4125.47,4126.13,4126.1066,4125.0756
1783650780,2026-07-10 02:33:00,4126.19,4126.75,4124.81,4124.93,4125.8451,4125.0624
1783650840,2026-07-10 02:34:00,4124.92,4125.13,4123.5,4123.51,4125.3262,4124.9213
1783650900,2026-07-10 02:35:00,4123.52,4124.04,4123.16,4123.82,4124.9915,4124.8211
1783650960,2026-07-10 02:36:00,4123.84,4124.72,4123.49,4124.62,4124.9089,4124.8029
1783651020,2026-07-10 02:37:00,4124.6,4124.6,4122.76,4122.76,4124.4314,4124.6171
1783651080,2026-07-10 02:38:00,4122.77,4123.46,4122.29,4123.46,4124.2155,4124.5119
1783651140,2026-07-10 02:39:00,4123.47,4124.24,4123.1,4123.94,4124.1543,4124.4599
1783651200,2026-07-10 02:40:00,4123.97,4124.01,4123.26,4123.74,4124.0622,4124.3945
1783651260,2026-07-10 02:41:00,4123.61,4124.5,4123.38,4123.85,4124.0151,4124.3450
1783651320,2026-07-10 02:42:00,4123.89,4125.66,4123.87,4125.51,4124.3473,4124.4509
1783651380,2026-07-10 02:43:00,4125.52,4126.12,4124.9,4126.06,4124.7279,4124.5972
1783651440,2026-07-10 02:44:00,4126.14,4126.57,4125.26,4125.87,4124.9817,4124.7129
1783651500,2026-07-10 02:45:00,4125.86,4126,4124.52,4124.68,4124.9146,4124.7099
1783651560,2026-07-10 02:46:00,4124.66,4125,4123.84,4124.29,4124.7758,4124.6717
1783651620,2026-07-10 02:47:00,4124.13,4126,4123.51,4125.83,4125.0101,4124.7770
1783651680,2026-07-10 02:48:00,4125.84,4125.89,4124.27,4124.5,4124.8967,4124.7518
1783651740,2026-07-10 02:49:00,4124.51,4126.05,4124.43,4125.89,4125.1175,4124.8553
1783651800,2026-07-10 02:50:00,4125.9,4127.3,4125.61,4127.12,4125.5625,4125.0612
1783651860,2026-07-10 02:51:00,4127.1,4128.35,4126.47,4128.29,4126.1686,4125.3547
1783651920,2026-07-10 02:52:00,4128.15,4128.53,4127.47,4127.94,4126.5622,4125.5897
1783651980,2026-07-10 02:53:00,4127.93,4129.11,4127.82,4128.53,4126.9995,4125.8570
1783652040,2026-07-10 02:54:00,4128.42,4128.76,4127.59,4127.76,4127.1685,4126.0300
1783652100,2026-07-10 02:55:00,4127.77,4127.77,4126.38,4126.53,4127.0266,4126.0755
1783652160,2026-07-10 02:56:00,4126.54,4126.67,4125.8,4125.97,4126.7918,4126.0659
1783652220,2026-07-10 02:57:00,4125.98,4126.7,4125.52,4126.57,4126.7425,4126.1117
1783652280,2026-07-10 02:58:00,4126.58,4127.01,4126.45,4126.53,4126.6953,4126.1498
1783652340,2026-07-10 02:59:00,4126.52,4127.77,4126.5,4127.77,4126.9341,4126.2970
1783652400,2026-07-10 03:00:00,4127.76,4131.94,4127.32,4130.85,4127.8043,4126.7110
1783652460,2026-07-10 03:01:00,4130.84,4131.38,4130.49,4130.56,4128.4167,4127.0609
1783652520,2026-07-10 03:02:00,4130.55,4130.55,4129.14,4129.5,4128.6574,4127.2826
1783652580,2026-07-10 03:03:00,4129.5,4130.11,4129.29,4129.98,4128.9513,4127.5278
1783652640,2026-07-10 03:04:00,4129.76,4130.24,4128.95,4129.67,4129.1110,4127.7226
1783652700,2026-07-10 03:05:00,4129.64,4129.84,4128.51,4129.56,4129.2108,4127.8896
1783652760,2026-07-10 03:06:00,4129.57,4132.79,4129.5,4132.51,4129.9440,4128.3096
1783652820,2026-07-10 03:07:00,4132.5,4133.62,4132.48,4133.59,4130.7542,4128.7897
1783652880,2026-07-10 03:08:00,4133.34,4134.79,4132.2,4133.59,4131.3844,4129.2261
1783652940,2026-07-10 03:09:00,4133.57,4134.33,4130.99,4131.62,4131.4367,4129.4437
1783653000,2026-07-10 03:10:00,4131.64,4131.8,4128.91,4129.16,4130.9308,4129.4179
1783653060,2026-07-10 03:11:00,4129.09,4129.46,4128.8,4129.15,4130.5351,4129.3936
1783653120,2026-07-10 03:12:00,4129.14,4129.49,4127.78,4128.16,4130.0073,4129.2814
1783653180,2026-07-10 03:13:00,4128.12,4128.36,4127.58,4128.18,4129.6012,4129.1813
1783653240,2026-07-10 03:14:00,4128.12,4128.17,4126.06,4126.64,4128.9432,4128.9503
1783653300,2026-07-10 03:15:00,4126.67,4126.84,4125.93,4126.35,4128.3669,4128.7139
1783653360,2026-07-10 03:16:00,4126.37,4127.79,4125.93,4127.25,4128.1187,4128.5808
1783653420,2026-07-10 03:17:00,4127.26,4128.33,4126.33,4126.68,4127.7990,4128.4080
1783653480,2026-07-10 03:18:00,4126.71,4126.88,4125.56,4125.77,4127.3481,4128.1682
1783653540,2026-07-10 03:19:00,4125.78,4126.11,4125.45,4125.8,4127.0041,4127.9529
1783653600,2026-07-10 03:20:00,4125.95,4126.06,4124.16,4124.46,4126.4387,4127.6354
1783653660,2026-07-10 03:21:00,4124.5,4124.5,4122.65,4123.69,4125.8279,4127.2767
1783653720,2026-07-10 03:22:00,4123.66,4123.98,4123.26,4123.36,4125.2795,4126.9206
1783653780,2026-07-10 03:23:00,4123.34,4123.55,4121.75,4123.41,4124.8640,4126.6015
1783653840,2026-07-10 03:24:00,4123.5,4123.51,4120.72,4122.22,4124.2765,4126.2032
1783653900,2026-07-10 03:25:00,4122.24,4124.36,4122.07,4124.36,4124.2950,4126.0356
1783653960,2026-07-10 03:26:00,4124.37,4125.18,4124.37,4124.97,4124.4450,4125.9387
1783654020,2026-07-10 03:27:00,4124.98,4125.92,4124.95,4125.12,4124.5950,4125.8643
1783654080,2026-07-10 03:28:00,4125.11,4125.93,4124.61,4125.07,4124.7006,4125.7921
1783654140,2026-07-10 03:29:00,4125.06,4126.29,4125.04,4125.26,4124.8249,4125.7437
1783654200,2026-07-10 03:30:00,4125.16,4125.82,4124.19,4125.75,4125.0305,4125.7443
1783654260,2026-07-10 03:31:00,4125.72,4126.06,4123.84,4123.99,4124.7993,4125.5848
1783654320,2026-07-10 03:32:00,4123.99,4125.8,4123.99,4125.8,4125.0216,4125.6044
1783654380,2026-07-10 03:33:00,4125.83,4126.6,4125.83,4126.19,4125.2813,4125.6576
1783654440,2026-07-10 03:34:00,4126.2,4127.9,4126.2,4127.59,4125.7943,4125.8333
1783654500,2026-07-10 03:35:00,4127.6,4127.89,4125.87,4126.09,4125.8600,4125.8566
1783654560,2026-07-10 03:36:00,4126.09,4126.91,4125.72,4125.74,4125.8334,4125.8460
1783654620,2026-07-10 03:37:00,4125.75,4126.36,4123.93,4123.98,4125.4215,4125.6764
1783654680,2026-07-10 03:38:00,4123.98,4125.25,4123.21,4123.26,4124.9412,4125.4567
1783654740,2026-07-10 03:39:00,4123.11,4124.04,4122.8,4123.12,4124.5365,4125.2443
1783654800,2026-07-10 03:40:00,4123.13,4123.47,4122.53,4122.58,4124.1017,4125.0021
1783654860,2026-07-10 03:41:00,4122.59,4122.6,4121.41,4121.98,4123.6302,4124.7273
1783654920,2026-07-10 03:42:00,4121.99,4123.01,4121.99,4123,4123.4902,4124.5703
1783654980,2026-07-10 03:43:00,4123,4123.03,4122.17,4122.2,4123.2035,4124.3548
1783655040,2026-07-10 03:44:00,4122.19,4122.46,4121.38,4121.71,4122.8716,4124.1144
1783655100,2026-07-10 03:45:00,4121.73,4122.32,4121.24,4122.32,4122.7490,4123.9513
1783655160,2026-07-10 03:46:00,4122.32,4122.37,4120.77,4120.91,4122.3403,4123.6748
1783655220,2026-07-10 03:47:00,4120.91,4121.81,4120.75,4121.8,4122.2203,4123.5043
1783655280,2026-07-10 03:48:00,4121.8,4122.33,4121.06,4121.14,4121.9802,4123.2894
1783655340,2026-07-10 03:49:00,4121.15,4121.47,4120.89,4121.14,4121.7935,4123.0940
1783655400,2026-07-10 03:50:00,4121.15,4121.53,4119.96,4120.13,4121.4238,4122.8246
1783655460,2026-07-10 03:51:00,4120.1,4120.35,4119.59,4120.31,4121.1763,4122.5960
1783655520,2026-07-10 03:52:00,4120.21,4120.83,4120,4120.41,4121.0060,4122.3972
1783655580,2026-07-10 03:53:00,4120.42,4121.94,4120.33,4121.7,4121.1602,4122.3338
1783655640,2026-07-10 03:54:00,4121.69,4121.77,4120.62,4120.64,4121.0446,4122.1799
1783655700,2026-07-10 03:55:00,4120.62,4121.87,4120.62,4121.01,4121.0369,4122.0735
1783655760,2026-07-10 03:56:00,4121.07,4121.24,4120.26,4120.74,4120.9709,4121.9523
1783655820,2026-07-10 03:57:00,4120.62,4120.8,4119.46,4120.64,4120.8974,4121.8330
1783655880,2026-07-10 03:58:00,4120.66,4120.66,4119.79,4120.1,4120.7202,4121.6754
1783655940,2026-07-10 03:59:00,4120.11,4120.85,4120.11,4120.34,4120.6357,4121.5540
1783656000,2026-07-10 04:00:00,4120.35,4120.35,4118.03,4118.17,4120.0878,4121.2464
1783656060,2026-07-10 04:01:00,4118.23,4119.26,4118.09,4118.73,4119.7860,4121.0176
1783656120,2026-07-10 04:02:00,4118.74,4119.44,4118.54,4119.38,4119.6958,4120.8688
1783656180,2026-07-10 04:03:00,4119.37,4120.12,4118.9,4119.3,4119.6079,4120.7261
1783656240,2026-07-10 04:04:00,4119.29,4119.89,4119.19,4119.85,4119.6617,4120.6465
1783656300,2026-07-10 04:05:00,4119.85,4120.64,4119.79,4120.43,4119.8324,4120.6268
1783656360,2026-07-10 04:06:00,4120.53,4120.61,4119.13,4119.45,4119.7474,4120.5198
1783656420,2026-07-10 04:07:00,4119.43,4119.62,4119.05,4119.22,4119.6302,4120.4017
1783656480,2026-07-10 04:08:00,4119.11,4119.37,4118.33,4118.52,4119.3835,4120.2306
1783656540,2026-07-10 04:09:00,4118.53,4118.55,4117.9,4117.97,4119.0694,4120.0251
1783656600,2026-07-10 04:10:00,4117.96,4118.01,4116.9,4117.99,4118.8295,4119.8401
1783656660,2026-07-10 04:11:00,4117.99,4119.23,4117.99,4118.77,4118.8163,4119.7428
1783656720,2026-07-10 04:12:00,4118.68,4119.46,4118.04,4119.41,4118.9482,4119.7125
1783656780,2026-07-10 04:13:00,4119.4,4119.6,4119.13,4119.2,4119.0042,4119.6660
1783656840,2026-07-10 04:14:00,4119.34,4121.02,4118.8,4121,4119.4477,4119.7872
1783656900,2026-07-10 04:15:00,4120.89,4120.99,4120.07,4120.08,4119.5882,4119.8138
1783656960,2026-07-10 04:16:00,4120.09,4120.24,4119.58,4120,4119.6797,4119.8308
1783657020,2026-07-10 04:17:00,4120.01,4121.19,4119.78,4121.1,4119.9953,4119.9462
1783657080,2026-07-10 04:18:00,4120.83,4121.08,4119.89,4120.02,4120.0008,4119.9529
