timestamp_utc,datetime_utc,open,high,low,close
1285891200,2010-10-01 00:00:00,1307.46,1308.47,1305.99,1308.13
1285905600,2010-10-01 04:00:00,1308.03,1310.53,1307.74,1308.68
1285920000,2010-10-01 08:00:00,1308.79,1316.93,1308.37,1315.77
1285934400,2010-10-01 12:00:00,1315.76,1318.09,1314.20,1315.86
1285948800,2010-10-01 16:00:00,1315.93,1320.44,1314.47,1316.49
1285963200,2010-10-01 20:00:00,1316.43,1319.12,1315.42,1318.72
1286150400,2010-10-04 00:00:00,1317.99,1319.91,1315.42,1315.93
1286164800,2010-10-04 04:00:00,1315.98,1318.23,1315.58,1318.03
1286179200,2010-10-04 08:00:00,1318.04,1319.68,1312.27,1313.67
1286193600,2010-10-04 12:00:00,1313.70,1317.37,1312.55,1314.65
1286208000,2010-10-04 16:00:00,1314.53,1315.86,1312.57,1315.62
1286222400,2010-10-04 20:00:00,1315.73,1316.06,1314.16,1314.95
1286236800,2010-10-05 00:00:00,1314.85,1315.27,1312.24,1313.61
1286251200,2010-10-05 04:00:00,1313.60,1318.52,1313.28,1317.95
1286265600,2010-10-05 08:00:00,1317.92,1327.91,1316.79,1325.26
1286280000,2010-10-05 12:00:00,1325.24,1331.87,1324.86,1330.22
1286294400,2010-10-05 16:00:00,1330.16,1340.98,1329.28,1339.94
1286308800,2010-10-05 20:00:00,1340.00,1341.40,1339.35,1340.36
1286323200,2010-10-06 00:00:00,1339.88,1343.99,1338.73,1341.83
1286337600,2010-10-06 04:00:00,1341.80,1349.60,1341.41,1347.21
1286352000,2010-10-06 08:00:00,1347.17,1349.45,1344.86,1345.34
1286366400,2010-10-06 12:00:00,1345.47,1346.96,1342.10,1345.82
1286380800,2010-10-06 16:00:00,1345.69,1349.15,1344.22,1344.97
1286395200,2010-10-06 20:00:00,1344.95,1349.01,1344.06,1348.63
1286409600,2010-10-07 00:00:00,1349.03,1349.05,1344.42,1346.20
1286424000,2010-10-07 04:00:00,1346.16,1355.43,1345.92,1354.68
1286438400,2010-10-07 08:00:00,1354.54,1364.55,1351.50,1357.24
1286452800,2010-10-07 12:00:00,1357.23,1361.18,1341.27,1346.24
1286467200,2010-10-07 16:00:00,1346.31,1349.32,1325.68,1335.22
1286481600,2010-10-07 20:00:00,1335.14,1337.37,1333.20,1333.28
1286496000,2010-10-08 00:00:00,1333.19,1336.51,1327.45,1330.36
1286510400,2010-10-08 04:00:00,1330.23,1335.06,1329.42,1332.33
1286524800,2010-10-08 08:00:00,1332.38,1335.00,1328.62,1329.14
1286539200,2010-10-08 12:00:00,1329.23,1345.24,1324.97,1341.40
1286553600,2010-10-08 16:00:00,1341.38,1349.49,1339.32,1342.82
1286568000,2010-10-08 20:00:00,1342.76,1347.48,1342.30,1347.21
1286755200,2010-10-11 00:00:00,1348.29,1355.12,1348.11,1352.88
1286769600,2010-10-11 04:00:00,1352.91,1353.68,1351.65,1352.61
1286784000,2010-10-11 08:00:00,1352.66,1353.39,1346.35,1348.16
1286798400,2010-10-11 12:00:00,1348.12,1349.49,1340.13,1346.13
1286812800,2010-10-11 16:00:00,1346.14,1353.93,1343.97,1353.09
1286827200,2010-10-11 20:00:00,1353.06,1353.99,1350.48,1353.77
1286841600,2010-10-12 00:00:00,1352.80,1355.07,1347.25,1347.53
1286856000,2010-10-12 04:00:00,1347.49,1351.24,1345.86,1346.35
1286870400,2010-10-12 08:00:00,1346.27,1348.34,1340.53,1344.90
1286884800,2010-10-12 12:00:00,1345.03,1352.27,1341.43,1347.14
1286899200,2010-10-12 16:00:00,1347.11,1349.73,1345.30,1347.59
1286913600,2010-10-12 20:00:00,1347.63,1352.74,1345.62,1350.15
1286928000,2010-10-13 00:00:00,1350.20,1354.67,1349.02,1354.02
1286942400,2010-10-13 04:00:00,1354.00,1358.69,1353.35,1355.63
1286956800,2010-10-13 08:00:00,1355.59,1360.88,1354.68,1360.12
1286971200,2010-10-13 12:00:00,1360.17,1361.29,1355.73,1359.40
1286985600,2010-10-13 16:00:00,1359.42,1373.94,1359.39,1370.76
1287000000,2010-10-13 20:00:00,1370.74,1372.63,1368.96,1371.87
1287014400,2010-10-14 00:00:00,1371.15,1378.33,1371.05,1376.37
1287028800,2010-10-14 04:00:00,1376.39,1380.23,1376.28,1379.08
1287043200,2010-10-14 08:00:00,1379.05,1387.03,1378.58,1380.32
1287057600,2010-10-14 12:00:00,1380.30,1382.65,1370.69,1372.38
1287072000,2010-10-14 16:00:00,1372.33,1378.34,1370.77,1377.97
1287086400,2010-10-14 20:00:00,1377.96,1381.05,1375.64,1380.83
1287100800,2010-10-15 00:00:00,1380.55,1382.82,1376.24,1378.62
1287115200,2010-10-15 04:00:00,1378.64,1381.56,1377.90,1380.73
1287129600,2010-10-15 08:00:00,1380.85,1381.58,1375.71,1378.17
1287144000,2010-10-15 12:00:00,1378.18,1385.11,1366.33,1367.56
1287158400,2010-10-15 16:00:00,1367.68,1375.93,1362.41,1366.94
1287172800,2010-10-15 20:00:00,1366.92,1370.07,1363.76,1368.17
1287360000,2010-10-18 00:00:00,1370.40,1370.63,1356.67,1358.80
1287374400,2010-10-18 04:00:00,1358.84,1361.87,1356.33,1361.09
1287388800,2010-10-18 08:00:00,1361.11,1363.26,1352.73,1361.28
1287403200,2010-10-18 12:00:00,1361.25,1367.86,1358.28,1366.15
1287417600,2010-10-18 16:00:00,1366.16,1372.62,1365.94,1371.20
1287432000,2010-10-18 20:00:00,1371.21,1374.76,1367.64,1368.20
1287446400,2010-10-19 00:00:00,1369.38,1370.82,1366.92,1367.58
1287460800,2010-10-19 04:00:00,1367.59,1369.40,1364.57,1365.22
1287475200,2010-10-19 08:00:00,1365.24,1370.48,1364.68,1367.78
1287489600,2010-10-19 12:00:00,1367.83,1369.68,1332.08,1338.94
1287504000,2010-10-19 16:00:00,1338.95,1346.38,1333.73,1334.53
1287518400,2010-10-19 20:00:00,1334.54,1334.65,1328.27,1331.68
1287532800,2010-10-20 00:00:00,1333.95,1337.50,1330.40,1336.03
1287547200,2010-10-20 04:00:00,1336.05,1341.44,1335.41,1338.12
1287561600,2010-10-20 08:00:00,1338.11,1342.80,1337.57,1341.12
1287576000,2010-10-20 12:00:00,1341.19,1342.40,1332.71,1339.17
1287590400,2010-10-20 16:00:00,1339.21,1346.92,1334.80,1344.83
1287604800,2010-10-20 20:00:00,1344.88,1346.89,1342.39,1345.93
1287619200,2010-10-21 00:00:00,1345.34,1349.02,1342.01,1343.05
1287633600,2010-10-21 04:00:00,1342.97,1345.60,1340.69,1342.22
1287648000,2010-10-21 08:00:00,1342.24,1347.66,1340.71,1344.97
1287662400,2010-10-21 12:00:00,1344.98,1347.82,1336.69,1345.01
1287676800,2010-10-21 16:00:00,1345.03,1346.65,1317.80,1319.07
1287691200,2010-10-21 20:00:00,1319.09,1326.30,1318.06,1325.39
1287705600,2010-10-22 00:00:00,1325.51,1327.53,1322.24,1326.18
1287720000,2010-10-22 04:00:00,1326.21,1328.33,1325.05,1327.79
1287734400,2010-10-22 08:00:00,1327.72,1327.93,1315.14,1319.51
1287748800,2010-10-22 12:00:00,1319.52,1328.04,1317.29,1323.38
1287763200,2010-10-22 16:00:00,1323.40,1325.42,1320.55,1324.79
