symbol,bars,earliest_utc,latest_utc,span_days,reached_target,stop_reason,load_calls,overlap_days,ref_min_in_overlap,sym_bars_in_overlap,tickvol_nonzero_pct,align_covered_pct,align_extra_pct,note
XAGUSD,3618323,2015-12-29 23:00,2026-08-28 20:56,3894.9,YES,REACHED_TARGET,556,58.2,57932,57928,100.00,99.99,0.00,
EURUSD,3941817,2015-12-29 19:58,2026-08-28 20:56,3895.0,YES,REACHED_TARGET,556,58.2,57932,60148,100.00,99.92,3.76,
USDJPY,3949052,2015-12-29 19:58,2026-08-28 20:56,3895.0,YES,REACHED_TARGET,556,58.2,57932,60169,100.00,99.96,3.75,
XAUEUR,3767665,2015-12-29 23:00,2026-08-28 20:56,3894.9,YES,REACHED_TARGET,556,58.2,57932,57930,100.00,100.00,0.00,
US500,3416303,2015-12-30 06:18,2026-08-28 20:54,3894.6,YES,REACHED_TARGET,556,58.2,57930,57867,100.00,99.74,0.15,
XTIUSD,3347398,2016-06-09 02:26,2026-08-28 20:56,3732.8,NO,SERVER_EXHAUSTED,534,58.2,57932,57381,100.00,98.90,0.15,
