symbol,resolved,bars,earliest_utc,latest_utc,span_days,reached_target,stop_reason,load_calls,tickvol_nonzero_pct,align_ref_covered_pct,align_sym_extra_pct,digits,pip_size,tick_size,note
GCZ26_CFD,YES,33719,2026-07-27 09:48,2026-08-28 20:56,32.5,NO,SERVER_EXHAUSTED,1,100.00,58.16,0.03,2,0.01,0.01,
GCM26,NO,0,,,,NO,EXCEPTION,0,-1,-1,-1,,,,Exception of type 'cTrader.Automate.Host.Dispatcher.Exceptions.AutomateDispatcherUnhandledException' was thrown.
