timestamp_utc,datetime_utc,open,high,low,close,ema8,ema21
1784138520,2026-07-15 18:02:00,4063.39,4065.71,4063.39,4065.62,4063.6888,4061.6877
1784138580,2026-07-15 18:03:00,4065.61,4068.57,4065.61,4068.35,4064.7246,4062.2934
1784138640,2026-07-15 18:04:00,4068.34,4068.78,4067.23,4068.03,4065.4591,4062.8149
1784138700,2026-07-15 18:05:00,4067.99,4069.25,4066.96,4068.44,4066.1215,4063.3263
1784138760,2026-07-15 18:06:00,4068.49,4068.95,4067.68,4068.53,4066.6568,4063.7993
1784138820,2026-07-15 18:07:00,4068.64,4070.29,4066.84,4066.94,4066.7197,4064.0849
1784138880,2026-07-15 18:08:00,4066.97,4067.35,4066.16,4066.71,4066.7175,4064.3235
1784138940,2026-07-15 18:09:00,4066.73,4067.92,4066.13,4067.18,4066.8203,4064.5832
1784139000,2026-07-15 18:10:00,4067.15,4067.2,4066.25,4066.58,4066.7669,4064.7647
1784139060,2026-07-15 18:11:00,4066.59,4068.33,4066.26,4067.9,4067.0187,4065.0497
1784139120,2026-07-15 18:12:00,4067.92,4068.34,4065.61,4066.26,4066.8501,4065.1598
1784139180,2026-07-15 18:13:00,4066.1,4066.9,4066.1,4066.23,4066.7123,4065.2571
1784139240,2026-07-15 18:14:00,4066.25,4068.14,4066.19,4067.97,4066.9918,4065.5037
1784139300,2026-07-15 18:15:00,4068.01,4068.63,4066.83,4068.15,4067.2492,4065.7443
1784139360,2026-07-15 18:16:00,4068.16,4068.32,4067.23,4068.1,4067.4382,4065.9584
1784139420,2026-07-15 18:17:00,4068.11,4069.53,4067.77,4068.66,4067.7097,4066.2040
1784139480,2026-07-15 18:18:00,4068.71,4068.78,4067.24,4067.81,4067.7320,4066.3500
1784139540,2026-07-15 18:19:00,4067.83,4070.17,4067.67,4069.84,4068.2005,4066.6673
1784139600,2026-07-15 18:20:00,4069.85,4070.3,4068.91,4070.01,4068.6026,4066.9712
1784139660,2026-07-15 18:21:00,4070.03,4071.02,4069.6,4070.88,4069.1087,4067.3265
1784139720,2026-07-15 18:22:00,4070.87,4071.73,4070.51,4071.08,4069.5467,4067.6677
1784139780,2026-07-15 18:23:00,4071.08,4071.89,4070.07,4071.06,4069.8830,4067.9761
1784139840,2026-07-15 18:24:00,4071.03,4071.49,4070.61,4070.87,4070.1024,4068.2392
1784139900,2026-07-15 18:25:00,4070.88,4072.53,4070.88,4071.33,4070.3752,4068.5202
1784139960,2026-07-15 18:26:00,4071.38,4072.73,4069.94,4069.94,4070.2785,4068.6493
1784140020,2026-07-15 18:27:00,4069.96,4071.66,4069.58,4071.59,4070.5699,4068.9166
1784140080,2026-07-15 18:28:00,4071.57,4072.33,4071.3,4071.98,4070.8833,4069.1951
1784140140,2026-07-15 18:29:00,4071.98,4075.06,4071.34,4074.27,4071.6359,4069.6565
1784140200,2026-07-15 18:30:00,4074.26,4079.29,4074.26,4078.8,4073.2279,4070.4877
1784140260,2026-07-15 18:31:00,4078.71,4081.22,4078.03,4079.76,4074.6795,4071.3306
1784140320,2026-07-15 18:32:00,4079.56,4079.72,4074.4,4074.95,4074.7396,4071.6597
1784140380,2026-07-15 18:33:00,4074.97,4076.41,4073.46,4073.61,4074.4886,4071.8370
1784140440,2026-07-15 18:34:00,4073.59,4074.22,4072.48,4072.77,4074.1067,4071.9218
1784140500,2026-07-15 18:35:00,4072.75,4072.84,4071.34,4072.73,4073.8007,4071.9953
1784140560,2026-07-15 18:36:00,4072.72,4073.5,4071.86,4072.39,4073.4872,4072.0311
1784140620,2026-07-15 18:37:00,4072.25,4073.04,4072.24,4072.86,4073.3479,4072.1065
1784140680,2026-07-15 18:38:00,4072.97,4073.08,4071.47,4071.74,4072.9906,4072.0732
1784140740,2026-07-15 18:39:00,4071.72,4071.93,4070.67,4070.84,4072.5127,4071.9611
1784140800,2026-07-15 18:40:00,4070.96,4071.1,4069.76,4069.94,4071.9410,4071.7773
1784140860,2026-07-15 18:41:00,4069.96,4070.29,4069.27,4069.56,4071.4119,4071.5758
1784140920,2026-07-15 18:42:00,4069.54,4069.77,4068.53,4069.56,4071.0003,4071.3925
1784140980,2026-07-15 18:43:00,4069.5,4069.51,4068.19,4069,4070.5558,4071.1750
1784141040,2026-07-15 18:44:00,4068.99,4069.09,4067.77,4067.77,4069.9367,4070.8655
1784141100,2026-07-15 18:45:00,4067.74,4068.59,4066.94,4067.84,4069.4708,4070.5904
1784141160,2026-07-15 18:46:00,4067.85,4068.03,4065.21,4065.48,4068.5840,4070.1258
1784141220,2026-07-15 18:47:00,4065.75,4067.92,4065.56,4065.78,4067.9609,4069.7308
1784141280,2026-07-15 18:48:00,4065.72,4066.72,4065.08,4065.29,4067.3673,4069.3271
1784141340,2026-07-15 18:49:00,4065.27,4065.8,4064.66,4064.69,4066.7724,4068.9055
1784141400,2026-07-15 18:50:00,4064.64,4064.73,4063.14,4064.14,4066.1874,4068.4723
1784141460,2026-07-15 18:51:00,4064.16,4064.17,4062.57,4063.36,4065.5591,4068.0075
1784141520,2026-07-15 18:52:00,4063.45,4064.34,4063.06,4064.34,4065.2882,4067.6741
