timestamp_utc,datetime_utc,open,high,low,close,ema8,ema21
1784743320,2026-07-22 18:02:00,4137.13,4138.49,4137.13,4137.63,4140.4393,4141.6782
1784743380,2026-07-22 18:03:00,4137.73,4138.3,4137.4,4137.84,4139.8617,4141.3293
1784743440,2026-07-22 18:04:00,4137.85,4137.91,4136.8,4137.76,4139.3946,4141.0048
1784743500,2026-07-22 18:05:00,4137.76,4139.37,4137.52,4139.24,4139.3603,4140.8444
1784743560,2026-07-22 18:06:00,4139.15,4139.76,4137.73,4139.27,4139.3402,4140.7012
1784743620,2026-07-22 18:07:00,4139.36,4141.16,4139.19,4141.05,4139.7202,4140.7329
1784743680,2026-07-22 18:08:00,4141.07,4141.51,4140.73,4140.74,4139.9468,4140.7336
1784743740,2026-07-22 18:09:00,4140.73,4140.73,4139.37,4139.37,4139.8186,4140.6096
1784743800,2026-07-22 18:10:00,4139.36,4140.58,4138.84,4139.93,4139.8434,4140.5478
1784743860,2026-07-22 18:11:00,4139.9,4140.17,4139.34,4139.34,4139.7315,4140.4380
1784743920,2026-07-22 18:12:00,4139.27,4139.27,4137.56,4137.98,4139.3423,4140.2146
1784743980,2026-07-22 18:13:00,4138.05,4139.04,4138.05,4138.67,4139.1929,4140.0742
1784744040,2026-07-22 18:14:00,4138.65,4139.05,4138.04,4138.18,4138.9678,4139.9020
1784744100,2026-07-22 18:15:00,4138.12,4138.38,4137.57,4137.84,4138.7172,4139.7145
1784744160,2026-07-22 18:16:00,4137.83,4137.89,4136.76,4137.49,4138.4445,4139.5123
1784744220,2026-07-22 18:17:00,4137.52,4138.65,4137.52,4138.49,4138.4546,4139.4193
1784744280,2026-07-22 18:18:00,4138.6,4139.23,4138.47,4139.01,4138.5780,4139.3821
1784744340,2026-07-22 18:19:00,4138.91,4139,4138.02,4138.85,4138.6385,4139.3338
1784744400,2026-07-22 18:20:00,4138.86,4139.43,4138.21,4139.32,4138.7899,4139.3325
1784744460,2026-07-22 18:21:00,4139.43,4139.79,4137.09,4137.19,4138.4344,4139.1377
1784744520,2026-07-22 18:22:00,4137.18,4137.29,4135.42,4135.56,4137.7956,4138.8125
1784744580,2026-07-22 18:23:00,4135.35,4136.04,4135.24,4136.01,4137.3988,4138.5577
1784744640,2026-07-22 18:24:00,4136.03,4137.14,4136.02,4136.77,4137.2591,4138.3952
