timestamp_utc,close,tick_volume
1412121600,1208.57,88
1412121660,1208.42,24
1412121720,1208.42,16
1412121780,1208.42,36
1412121840,1208.17,14
1412121900,1207.95,18
1412121960,1207.70,24
1412122020,1207.71,14
1412122080,1207.50,18
1412122140,1207.51,26
1412122200,1207.32,24
1412122260,1207.22,10
1412122320,1207.32,48
1412122380,1207.22,12
1412122440,1207.11,6
1412122500,1207.21,2
1412122560,1207.31,8
1412122620,1207.51,32
1412122680,1207.11,18
1412122740,1207.11,4
1412122800,1207.33,16
1412122860,1207.69,64
1412122920,1207.32,36
1412122980,1208.01,16
1412123040,1208.21,26
1412123100,1208.21,30
1412123160,1207.62,28
1412123220,1207.39,48
1412123280,1207.48,26
1412123340,1207.12,24
1412123400,1207.31,22
1412123460,1207.51,40
1412123520,1207.51,26
1412123580,1207.43,10
1412123640,1207.31,56
1412123700,1207.31,4
1412123760,1207.04,30
1412123820,1207.28,72
1412123880,1207.32,20
1412123940,1207.13,34
1412124000,1207.04,24
1412124060,1207.21,60
1412124120,1207.12,28
1412124180,1207.17,24
1412124240,1207.01,30
1412124300,1207.01,42
1412124360,1207.21,48
1412124420,1207.36,18
1412124480,1207.31,44
1412124540,1207.37,34
1412124600,1207.37,26
1412124660,1207.32,24
1412124720,1207.34,30
1412124780,1207.34,34
1412124840,1207.18,68
1412124900,1207.14,34
1412124960,1207.28,48
1412125020,1207.28,48
1412125080,1207.38,26
1412125140,1207.57,22
1412125200,1207.51,14
1412125260,1207.12,96
1412125320,1207.03,48
1412125380,1206.97,18
1412125440,1206.97,18
1412125500,1206.78,28
1412125560,1206.61,58
1412125620,1206.69,78
1412125680,1206.91,32
1412125740,1207.01,14
1412125800,1207.52,56
1412125860,1208.45,110
1412125920,1208.63,170
1412125980,1208.44,56
1412126040,1208.38,76
1412126100,1208.21,96
1412126160,1208.06,34
1412126220,1207.82,52
1412126280,1207.86,12
1412126340,1207.62,34
1412126400,1207.62,40
1412126460,1207.10,64
1412126520,1207.06,46
1412126580,1206.71,38
1412126640,1206.73,58
1412126700,1206.05,144
1412126760,1206.15,36
1412126820,1206.45,66
1412126880,1206.75,92
1412126940,1206.41,36
1412127000,1205.88,136
1412127060,1206.05,44
1412127120,1205.86,52
1412127180,1206.01,34
1412127240,1206.06,38
1412127300,1206.05,66
1412127360,1206.06,24
1412127420,1206.51,46
1412127480,1206.56,50
1412127540,1206.26,36
1412127600,1206.24,44
1412127660,1206.12,26
1412127720,1206.43,90
1412127780,1206.35,26
