timestamp_utc,close,tick_volume
1396310400,1283.72,114
1396310460,1283.83,24
1396310520,1283.58,18
1396310580,1283.53,18
1396310640,1283.38,36
1396310700,1283.38,12
1396310760,1283.43,8
1396310820,1283.33,32
1396310880,1283.33,20
1396310940,1283.23,48
1396311000,1283.48,32
1396311060,1283.13,26
1396311120,1283.28,20
1396311180,1283.18,14
1396311240,1283.09,34
1396311300,1283.28,12
1396311360,1283.29,2
1396311480,1282.88,26
1396311540,1282.63,44
1396311600,1282.49,48
1396311660,1282.38,102
1396311720,1282.59,56
1396311780,1282.48,42
1396311840,1282.99,70
1396311900,1282.97,88
1396311960,1283.24,48
1396312020,1283.14,30
1396312080,1283.34,30
1396312140,1283.69,54
1396312200,1282.63,114
1396312260,1282.63,30
1396312320,1282.74,42
1396312380,1283.09,30
1396312440,1282.31,122
1396312500,1282.36,74
1396312560,1282.44,42
1396312620,1282.35,30
1396312680,1282.38,58
1396312740,1282.59,14
1396312800,1282.77,42
1396312860,1282.98,34
1396312920,1282.83,62
1396312980,1282.72,40
1396313040,1282.68,10
1396313100,1282.63,2
1396313160,1282.53,30
1396313220,1282.68,42
1396313280,1282.60,24
1396313340,1282.58,2
1396313400,1282.68,30
1396313460,1282.53,18
1396313520,1282.68,6
1396313580,1282.49,50
1396313640,1282.22,64
1396313700,1282.52,60
1396313760,1282.43,50
1396313820,1282.38,78
1396313880,1282.30,48
1396313940,1282.58,64
1396314000,1281.39,252
1396314060,1281.78,204
1396314120,1282.28,136
1396314180,1281.88,108
1396314240,1281.68,72
1396314300,1281.48,106
1396314360,1281.10,102
1396314420,1281.53,62
1396314480,1281.58,74
1396314540,1281.28,50
1396314600,1281.52,94
1396314660,1281.53,76
1396314720,1280.98,64
1396314780,1280.93,52
1396314840,1281.12,44
1396314900,1280.20,84
1396314960,1278.91,276
1396315020,1280.37,304
1396315080,1280.53,154
1396315140,1280.20,156
1396315200,1280.03,78
1396315260,1280.30,52
1396315320,1280.63,54
1396315380,1280.57,70
1396315440,1281.20,82
1396315500,1281.16,20
1396315560,1281.16,12
1396315620,1281.26,8
1396315680,1281.05,74
1396315740,1281.20,58
1396315800,1281.15,92
1396315860,1281.04,26
1396315920,1281.01,74
1396315980,1281.13,66
1396316040,1281.25,40
1396316100,1281.30,42
1396316160,1280.95,62
1396316220,1280.75,44
1396316280,1281.54,88
1396316340,1281.94,74
1396316400,1282.13,142
1396316460,1282.25,34
1396316520,1282.44,52
1396316580,1282.94,90
1396316640,1282.70,90
1396316700,1283.13,142
1396316760,1283.21,150
1396316820,1282.90,98
1396316880,1282.84,72
1396316940,1283.42,80
1396317000,1283.04,66
1396317060,1283.04,50
1396317120,1283.13,78
1396317180,1283.24,66
1396317240,1283.29,38
1396317300,1283.14,68
1396317360,1283.21,32
1396317420,1282.91,38
1396317480,1282.76,126
1396317540,1282.83,92
1396317600,1282.73,74
1396317660,1283.08,90
1396317720,1283.21,50
1396317780,1283.30,70
1396317840,1283.13,68
1396317900,1283.30,28
1396317960,1283.61,58
1396318020,1283.31,44
1396318080,1283.41,22
1396318140,1283.43,62
1396318200,1283.38,32
1396318260,1283.33,20
1396318320,1283.32,50
1396318380,1283.27,34
1396318440,1283.06,62
1396318500,1283.35,78
1396318560,1283.53,48
1396318620,1283.86,66
1396318680,1284.22,52
1396318740,1284.21,74
1396318800,1284.33,52
1396318860,1284.33,28
1396318920,1284.74,98
1396318980,1284.41,36
1396319040,1284.90,108
1396319100,1285.13,88
1396319160,1284.33,102
1396319220,1284.64,36
1396319280,1284.53,32
1396319340,1284.38,48
