timestamp_utc,close,tick_volume
1375315200,1326.22,46
1375315260,1326.52,40
1375315320,1326.89,54
1375315380,1327.07,46
1375315440,1328.44,110
1375315500,1328.17,96
1375315560,1328.21,72
1375315620,1327.91,102
1375315680,1328.50,100
1375315740,1328.67,146
1375315800,1328.77,44
1375315860,1328.32,76
1375315920,1328.27,56
1375315980,1328.37,78
1375316040,1328.37,64
1375316100,1328.50,86
1375316160,1330.37,242
1375316220,1330.47,156
1375316280,1330.33,134
1375316340,1329.70,236
1375316400,1329.57,114
1375316460,1329.50,32
1375316520,1329.87,104
1375316580,1329.27,78
1375316640,1329.11,74
1375316700,1329.08,72
1375316760,1328.91,66
1375316820,1328.41,148
1375316880,1329.16,108
1375316940,1328.67,90
1375317000,1328.21,150
1375317060,1328.21,106
1375317120,1328.01,64
1375317180,1327.80,66
1375317240,1328.27,54
1375317300,1328.20,96
1375317360,1328.40,42
1375317420,1328.20,60
1375317480,1328.27,60
1375317540,1328.20,42
1375317600,1328.05,30
1375317660,1328.05,28
1375317720,1328.15,22
1375317780,1328.13,18
1375317840,1328.25,58
1375317900,1328.22,12
1375317960,1328.25,12
1375318020,1328.22,24
1375318080,1328.22,12
1375318140,1328.25,18
1375318200,1328.21,26
1375318260,1328.22,16
1375318320,1328.15,38
1375318380,1328.05,24
1375318440,1327.15,142
1375318500,1327.19,94
1375318560,1327.05,86
1375318620,1328.55,126
1375318680,1328.85,166
1375318740,1328.52,124
1375318800,1327.15,476
1375318860,1328.35,266
1375318920,1329.45,364
1375318980,1328.65,334
1375319040,1327.95,166
1375319100,1327.99,216
1375319160,1326.95,212
1375319220,1326.45,172
1375319280,1326.75,172
1375319340,1326.95,102
1375319400,1327.15,102
1375319460,1327.23,178
1375319520,1328.12,126
1375319580,1327.55,86
1375319640,1327.65,64
1375319700,1327.75,54
1375319760,1328.15,134
1375319820,1327.93,136
1375319880,1328.13,56
1375319940,1328.15,64
1375320000,1327.85,76
1375320060,1327.12,74
1375320120,1326.75,64
1375320180,1327.02,120
1375320240,1327.08,62
1375320300,1327.16,106
1375320360,1327.05,38
